;idx;tokens;sentiment
0;2;Morrisons book second consecutive quarter of sales growth;0.4347826086956521
1;3;IMI posts drop in first-quarter organic revenue  warns on full year;-0.34782608695652173
2;4;Glencore to refinance its short-term debt early, shares rise;0.34378159757330634
3;5;EasyJet attracts more passengers in June but still lags Ryanair;0.2618806875631951
4;6;Barclays 'bad bank' chief to step down;-0.23356926188068755
5;7;Bilfinger Industrial Services win Ã‚Â£100m BP contract extension;0.11425682507583416
6;8;Bilfinger Industrial Services win Ã‚Â£100m BP contract extension;0.42871587462082905
7;9;Barclays share price subdued as bank faces fresh forex probe;-0.37714863498483314
8;10;Centrica prepared for takeover approach - chairman;0.11223458038422648
9;11;Jim Armitage: Spare no tears as Glencore's bosses are paying such a small price;-0.23356926188068755
10;12;Barclays, Deutsche Bank Fight to Lift Profit Just Got Harder;-0.2234580384226491
11;13;Kingfisher set to open another 200 Screwfix stores;0.5470171890798786
12;14;Diageo sales disappoint as currency and comparatives leave bitter taste;-0.5510616784630941
13;15;Smith & Nephew recalls hip-replacement components;-0.5278058645096056
14;16;Tesco is torn apart as watchdog finds supermarket repeatedly withheld payments from suppliers;-0.7836198179979778
15;17;Is Trouble Brewing At Legal & General Group Plc And Aviva plc?;-0.27401415571284127
16;18;Here's my 10-point plan to make Tesco great again;0.09100101112234579
17;19;Schroders posts FY profit beat, replaces CEO and chairman in board shake-up;0.0525783619817998
18;20;BP Seeks to Get Back Some Gulf Oil Spill Business Payouts;0.18301314459049545
19;21;Can Standard Chartered PLC, BP plc & Burberry Group plc Keep Charging?;0.0
20;22;UPDATE 1-BP reports worst annual loss in at least 20 years, cuts more jobs;-1.0
21;23;Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger;0.05358948432760363
22;24;L&G still paying price for dividend cut during crisis, chief says;-0.3417593528816986
23;25;Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger;0.31749241658240646
24;26;Whitbread eyes savings, price rises to offset wage rises;0.14054600606673406
25;27;Britain's FTSE lifted by solid Kingfisher;0.6602628918099089
26;28;Novo Nordisk and AstraZeneca seek tonic from key drug trials;0.10010111223458037
27;29;Kingfisher takeover of Mr Bricolage could hit a brick wall;-0.31445904954499493
28;30;BP wins right to appeal some Gulf spill damages claims;0.23862487360970674
29;31;Dixons Carphone profit boost on strong sales;0.48331648129423654
30;32;UK MORNING BRIEFING: Sky And Hargreaves Lansdown Bookend FTSE 100;0.1294236602628918
31;33;Johnson Matthey profit lifted by metals unit sale;0.41152679474216375
32;34;Barclays, Credit Suisse strike record deals with SEC, NY over dark pools;-0.9120323559150657
33;35;UPDATE 1-Shire takes Q2 earnings pain for long-term gain;-0.17593528816986856
34;36;Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit;0.4418604651162791
35;37;Standard Chartered considering move from UK;0.1678463094034378
36;38;Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...;0.2426693629929221
37;39;US cancels Arctic offshore lease sale after Shell drops interest;-0.019211324570273
38;40;Shire CEO steps up drive to get Baxalta board talking;0.20525783619817997
39;41;UPDATE 1-Oil major BP freezes pay in 2015 to cut costs;-0.20222446916076844
40;42;Brazil Vale says will appeal ruling to block assets for dam burst;-0.13245702730030331
41;43;BHP Billiton posts big loss, slashes dividend;-0.9484327603640039
42;44;Reaching New Depths: Glencore's $5bn Loss;-0.9231547017189078
43;45;UPDATE 2-EasyJet sees better first half on lower fuel bill;0.7866531850353893
44;46;Britain's FTSE advances as Royal Mail rises;0.4812942366026288
45;47;CompaniesTesco sheds Harris & Hoole coffee shops;0.3033367037411527
46;48;News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks;0.5146612740141556
47;49;Fitch: Citi's 1Q'15 Reports Much Improved Results;0.3822042467138523
48;50;Landlord Hammerson's NAV rises on increased leasing activity;0.666329625884732
49;51;CompaniesMetro Bank raises Ã‚Â£400m ahead of London listing;0.29929221435793735
50;52;New Morrisons duo get former boss's support to diffuse investor tension;0.14459049544994945
51;53;WPP Q1 Revenue Rises Over 8% - Quick Facts;0.6754297269969665
52;54;Barclays raises 603 million pounds from African business share sale;0.3124368048533872
53;55;REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm;-0.40242669362992917
54;56;Dividends Unleashed At Royal Bank of Scotland Group plc;0.4297269969666329
55;57;Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears;0.1294236602628918
56;58;EXCLUSIVE-BP, China's CNPC to unveil oil alliance - sources;0.32962588473205257
57;59;RBS and Barclays shares temporarily suspended amid heavily losses;-0.9514661274014155
58;60;BP sees Q1 earnings slide as low oil prices take their toll;-0.38018200202224467
59;61;Johnson Matthey revs up on clean air drive;0.2264914054600606
60;62;Tesco boss urges rethink on minimum wage and business rates;0.17492416582406467
61;63;Is It Worth Investing In Tesco PLC And Prudential plc Now?;0.1627906976744186
62;64;RBS will reportedly appoint Howard Davies as its next chairman;0.08998988877654196
63;65;UPDATE 1-Seattle flotilla protests Shell's Arctic drilling plans;-0.3417593528816986
64;66;Petrofac books further Ã‚Â£30m cost for Shetland gas terminal delays;-0.3468149646107178
65;67;G4S suspends workers at UK youth centre over allegations of unnecessary force;-0.326592517694641
66;68;TalkTalk hires BAE Systems to investigate cyber attack;0.21941354903943375
67;69;Osborne extends Lloyds sell-off plan;-0.31445904954499493
68;70;UPDATE 1-Dairy Crest loses a third of Morrisons milk contract;-0.9120323559150657
69;71;CompaniesLord Livingston joins Dixons Carphone;0.36804853387259856
70;72;Tesco names Deloitte as new auditor after accounting scandal;0.26289180990899896
71;73;World's banks may halve jobs and branches within 10 years - Barclays ex-boss;-0.5267947421638017
72;74;Severn Trent share price rises as first half profit inches up as customer ...;0.531850353892821
73;75;Clinigen chosen by AstraZeneca to manage access programme for next ...;0.3316481294236602
74;76;Valeant's Pearson says timing of return uncertain;-0.044489383215369056
75;77;Aviva suspends trading in Ã‚Â£1.8bn UK property fund;-0.7886754297269969
76;78;Horizonte acquires neighbouring Glencore nickel property in Brazil;0.18402426693629928
77;79;Indy future in doubt as Johnston Press lines up deal for 'i';0.15672396359959553
78;80;Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano;0.28008088978766427
79;81;BHP Billiton half-year profit falls, beats forecasts;0.08291203235591504
80;82;Royal Dutch Shell to Buy BG Group for Nearly $70 Billion;0.2618806875631951
81;83;Barclays to speed up cost-cuts after new mis-selling hit;-0.2527805864509605
82;84;CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up;0.134479271991911
83;85;HSBC Hit by Fresh Details of Tax Evasion Claims;-0.6006066734074822
84;86;CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure;-0.09302325581395347
85;87;BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure;0.2234580384226491
86;88;Wolseley says Nicholls won't join as finance chief;-0.08796764408493428
87;89;UK lawmakers warn Royal Mail against further price hikes;-0.1658240647118301
88;90;StanChart and RBS struggle in Bank of England stress tests;-0.39433771486349845
89;91;StanChart may see white knight takeover on painful recovery - CLSA;-0.15672396359959553
90;92;AstraZeneca suffers setback after drug fails to treat eye cancer;-0.39635995955510617
91;93;News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks;-0.6734074823053589
92;94;Retail giant Kingfisher reports 'solid' start to the year;0.3720930232558139
93;95;Unilever Continues to Battle Soft Demand;-0.26693629929221435
94;96;Fresnillo Production Surges But Profit Hit By Lower Prices;0.21233569261880686
95;97;Helge Lund moves to BG a month early;0.05055611729019211
96;98;Tesco set to sell Kipa, Giraffe businesses - Sky News;-0.1941354903943377
97;99;RBS warns of higher misconduct charges, obstacles ahead;-0.3872598584428715
98;100;DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...;0.31041456016177954
99;101;Standard Life slips as Greek worries peg back Britain's FTSE;-0.41152679474216375
100;102;Glencore sells agri unit stake for $2.5 billion to Canadian pension fund;0.4711830131445905
101;103;FCA bans former RBS Libor submitter;-0.28816986855409504
102;104;AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval;0.12841253791708795
103;105;Standard Chartered Not Raising Capital Yet As Dividend Cut;-0.15975733063700706
104;106;Tesco set to sell Kipa, Giraffe businesses - Sky News;0.23255813953488372
105;107;United Utilities FY profit up 3.5%  to boost capex;0.4246713852376137
106;108;Sale of Tesco's Clubcard business to WPP on the verge of collapse;-0.5237613751263902
107;109;UK's Osborne may sell state-owned RBS shares at a loss -paper;-0.3033367037411527
108;110;Tesco Sale Is Asia's Biggest Private-Equity Deal;0.3822042467138523
109;111;Industry NewsWolseley confident in reslilience amid mixed markets;0.2901921132457027
110;112;Japan's Nikkei lands Financial Times in $1.3 billion deal;0.26491405460060663
111;113;UPDATE: Peter Long To Be Chairman Of Both Royal Mail And TUI AG;0.0
112;114;UK regulators license BAT e-cigarette as quit-smoking medicine;0.46612740141557124
113;115;Aviva, M&G suspend property funds as investors panic;-0.7906976744186046
114;116;British American Tobacco drops and sues PwC over pollution scandal;-0.5338725985844287
115;117;Aberdeen's shares slide as net outflows accelerate;-0.4388270980788675
116;118;REFILE-Hikma and Barclays help Britain's FTSE to climb higher;0.45702730030333666
117;119;Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit;-0.13144590495449948
118;120;Standard Chartered share price: Aberdeen CEO would back potential capital increase;0.16885743174924162
119;121;Severn Trent share price jumps as Canadian investor renews pursuit of utility;0.43781597573306363
120;122;France raises concerns over proposed LSE-Deutsche Boerse deal;-0.35085945399393326
121;123;Bunzl blames weakness in United States for first-half revenue slowdown;-0.33872598584428715
122;124;Tesco criticised for 'disgraceful' advert showing domestic worker being slapped;-0.5035389282103134
123;125;Tushar Morzaria is bookies' favourite to be new Barclays chief executive;0.0
124;126;CompaniesG4S claims 'positive' start to the year;0.30637007077856415
125;127;UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean;-0.042467138523761376
126;128;Shares in BAE Systems hit 10-month high on rating upgrade;0.9150657229524772
127;129;GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank;0.23559150657229525
128;130;Royal Dutch Shell plc: Shell Updates on Alaska Exploration;0.0
129;131;City spirits sink after Diageo comes up short with sales slide;-0.5267947421638017
130;132;Tesco sales recover as focus returns to core business;0.3538928210313448
131;133;London Stock Exchange unit in talks to operate Plato venue;0.14560161779575329
132;134;ARM Holdings plc Partners With International Business Machines Corp. To Drive ...;0.3488372093023256
133;135;GSK joins China trade push as UK trumpets healthcare deals;0.29726996966632957
134;136;Goldman Sachs, Barclays, HSBC downplay Brexit threat;0.0
135;137;HSBC marks muted 150th birthday party with grain of rice sculptures;0.0
136;138;Barclays appoints JPMorgan's Paul Compton as new COO;0.03640040444893832
137;139;Standard Chartered Shares Jump Most Since '12 After Upgrades;1.0
138;140;Italy Probes Shell's Role in Purchase of Nigerian Oil Block;-0.23356926188068755
139;141;Shropshire and Mid Wales trains to be hit again in new strike by Arriva drivers;-0.4044489383215369
140;142;Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover;0.13953488372093023
141;143;Randgold profit hit by poor gold price but dividend still increases;-0.0525783619817998
142;144;AstraZeneca does US$770mln anaesthetic deal;0.36905965621840237
143;145;AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval;-0.37310414560161775
144;146;ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...;0.6177957532861476
145;147;Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group;0.18402426693629928
146;148;Pearson to cut 4000 jobs as it warns on profits;-0.6713852376137512
147;149;FDA panel backs safety updates for AstraZeneca, Takeda drugs;-0.20020222446916075
148;150;LSE-Deutsche Boerse merger would signal end to exchange mega-deals;0.10616784630940343
149;151;Intertek Hit By Pound Strength, Oil & Gas Slowdown  Still Ups Dividend;-0.3953488372093023
150;152;Tesco says recovery plan working after profit collapse;0.2153690596562184
151;153;Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...;0.21031344792719917
152;154;Shell and BG Shareholders to Vote on Deal at End of January;0.0
153;155;Intercontinental Hotels, Starwood held early deal talks - FT;0.1466127401415571
154;156;Warren Buffett's Berkshire Hathaway buys stake in Apple;0.4863498483316481
155;157;Sunday Papers: Shire told to raise its offer by Baxalta investors;0.3468149646107178
156;158;Britain's FTSE bounces back, Mondi and Barratt lead;0.5642062689585439
157;159;Glencore slashes 2015 capex budget as annual profits slip 2%;-0.3741152679474216
158;160;Anheuser-Busch InBev Increases Offer for Rival SABMiller;0.1243680485338726
159;161;Sainsbury CFO Rogers to Replace Home Retail CEO Walden;0.0
160;162;UPDATE 2-Exchanges, Barclays win dismissal of US high-frequency trading case;0.21435793731041453
161;163;MarketsUS industrials lag as Barclays dims view;-0.34378159757330634
162;164;Zurich Insurance Considering Offer for UK Rival RSA Insurance;0.38018200202224467
163;165;US DOJ antitrust unit subpoenas Mylan over pricing of doxycycline;-0.8695652173913042
164;166;AstraZeneca sells US gout drug rights to Ironwood for up to $265 million;0.33872598584428715
165;167;Shell, Chevron Await LNG's Return From `Pause Mode';0.057633973710819006
166;168;Companies raise less money on London Stock Exchange in 2015;-0.20121334681496458
167;169;Shell and BG Shareholders to Vote on Deal at End of January;0.0
168;170;Glencore shares rally after miner hits back;0.41152679474216375
169;171;ABN Amro: Bank that brought down RBS poised for return to the market;0.35692618806875626
170;172;Verizon and AT&T accused of hurting rivals;-0.45197168857431747
171;173;ARM swings to profit in fourth quarter;0.5551061678463093
172;174;Johnson Matthey profit falls but dividend rises;0.0
173;175;Auto Trader share price surges as company floats on LSE;0.6622851365015167
174;176;ConAgra Names Former Hillshire Farms CEO Connolly to Top Post;0.10111223458038422
175;177;Hargreaves Landown slides on trading update;-0.4691607684529827
176;178;Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...;-0.22851365015166833
177;179;WPP, World's Largest Ad Agency, Reports Strong 2015 Growth;0.5611729019211324
178;180;Shell Targets Gains From Brazil to LNG With Takeover of BG Group;0.5722952477249748
179;181;Four former Barclays bankers jailed over Libor;-0.8493427704752274
180;182;Tesco Cut to Junk at Moody's on Concern Revival to Take Time;-0.6299292214357937
181;183;LPC-Glencore launches refinancing of $8.45billion loan;0.19514661274014153
182;184;London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls;0.5197168857431749
183;185;Easyjet targets business travellers with new perks;0.14863498483316478
184;186;BP joins forces with Det Norske in Norway;0.2426693629929221
185;187;Shire proposes $30 bln all-share tie-up with Baxalta;0.2719919110212335
186;188;Tesco sales rise shows tentative recovery continues;0.2588473205257836
187;189;Valeant Names Interim Leader as CEO Remains Hospitalized;0.0
188;190;AstraZeneca weighing up Acerta bid to secure blood cancer drug;0.2871587462082912
189;191;BP asks for lower fine in penalty phase of Gulf spill trial;-0.16177957532861476
190;192;MarketsShire up 2.5% and Baxalta up 6% on $32bn deal;0.4924165824064712
191;193;Warren Buffett's Awesome Feat at Berkshire Hathaway, Revisited;0.15773508594539937
